BI-Vital CA7F, STM_FW 2.0-23-g1ecdf25, NRF_FW 2.0, Config #3536667788, Start Time 1970-01-01 00:00:13, Uptime 00:00:13, Global Update intervall 5 ms
Updatinterval [ms], 5
Time [s], Heartrate [bpm]
   0.000,   0
   7.435,    
   8.030,  14
   8.635,  87
   9.270,  97
   9.955,  98
  10.650,  94
  11.350,  94
  12.020,  88
  12.710,  87
  13.415,  87
  14.120,  85
  14.835,  85
  15.550,  85
  16.260,  84
  16.950,  84
  17.645,  84
  18.355,  84
  19.080,  84
  19.800,  84
  20.525,  84
  21.240,  83
  21.920,  83
  22.570,  83
  23.225,  83
  23.905,  87
  24.625,  87
  25.370,  87
  26.120,  87
  26.860,  83
  27.595,  80
  28.305,  80
  28.995,  80
  29.665,  80
  30.325,  83
  30.970,  86
  31.605,  88
  32.235,  90
  32.880,  92
  33.560,  92
  34.305,  92
  35.075,  92
  35.850,  88
  36.605,  81
  37.325,  79
  38.010,  79
  38.685,  79
  39.365,  82
  40.060,  86
  40.780,  86
  41.515,  86
  42.265,  86
  43.010,  83
  43.735,  81
  44.450,  81
  45.155,  81
  45.840,  81
  46.500,  83
  47.135,  84
  47.765,  86
  48.390,  90
  49.000,  93
  49.620,  93
  50.305,  95
  51.055,  95
  51.815,  95
  52.570,  88
  53.330,  80
  54.080,  79
  54.830,  79
  55.560,  79
  56.250,  79
  56.920,  79
  57.550,  81
  58.180,  86
  58.850,  88
  59.615,  89
  60.430,  89
  61.270,  89
  62.095,  79
  62.900,  73
  63.645,  73
  64.385,  73
  65.105,  73
  65.820,  78
  66.535,  80
  67.250,  81
  67.985,  83
  68.725,  83
  69.465,  83
  70.195,  81
  70.940,  81
  71.690,  81
  72.435,  80
  73.170,  80
  73.895,  80
  74.600,  80
  75.315,  80
  76.035,  82
  76.805,  82
  77.595,  82
  78.380,  82
  79.150,  78
  79.895,  78
  80.610,  78
  81.310,  78
  82.005,  79
  82.705,  82
  83.400,  84
  84.095,  84
  84.785,  85
  85.490,  85
  86.205,  85
  86.945,  85
  87.685,  85
  88.415,  83
  89.140,  82
  89.865,  82
  90.580,  82
  91.245,  82
  91.930,  82
  92.610,  83
  93.320,  86
  94.035,  86
  94.760,  86
  95.480,  84
  96.175,  83
  96.855,  83
  97.520,  83
  98.175,  85
  98.860,  87
  99.555,  87
 100.285,  87
 100.985,  87
 101.655,  86
 102.295,  86
 102.925,  86
 103.555,  88
 104.190,  92
 104.825,  94
 105.510,  94
 106.230,  94
 106.985,  94
 107.760,  88
 108.525,  83
 109.255,  79
 109.990,  79
 110.695,  79
 111.390,  80
 112.065,  81
 112.710,  83
 113.340,  85
 113.965,  88
 114.600,  92
 115.285,  93
 116.045,  93
 116.850,  93
 117.675,  87
 118.475,  80
 119.270,  74
 120.045,  74
 120.800,  74
 121.545,  74
 122.280,  76
 123.010,  78
 123.730,  79
 124.430,  80
 125.140,  81
 125.860,  82
 126.590,  82
 127.310,  82
 128.030,  82
 128.765,  82
 129.505,  82
 130.235,  81
 130.975,  81
 131.695,  81
 132.420,  81
 133.125,  81
 133.850,  82
 134.570,  82
 135.280,  82
 135.995,  82
 136.715,  83
 137.450,  83
 138.200,  83
 138.940,  83
 139.675,  81
 140.390,  81
 141.090,  81
 141.780,  81
 142.445,  83
 143.100,  84
 143.730,  86
 144.375,  88
 145.030,  90
 145.715,  90
 146.490,  90
 147.285,  90
 148.055,  87
 148.845,  78
 149.625,  77
 150.415,  77
 151.195,  76
 151.960,  76
 152.710,  76
 153.445,  76
 154.150,  77
 154.825,  79
 155.485,  80
 156.120,  84
 156.745,  88
 157.355,  90
 157.950,  93
 158.540,  94
 159.135,  97
 159.740,  99
 160.360,  99
 161.010,  99
 161.660,  99
 162.310,  96
 162.960,  92
 163.605,  92
 164.230,  92
 164.835,  92
 165.440,  92
 166.035,  94
 166.630,  98
 167.260,  98
 167.935,  98
 168.720,  98
 169.540,  95
 170.355,  89
 171.140,  77
 171.920,  76
 172.685,  76
 173.460,  76
 174.235,  76
 174.990,  76
 175.730,  76
 176.445,  77
 177.140,  78
 177.875,  80
 178.665,  80
 179.470,  80
 180.265,  80
 181.030,  75
 181.760,  75
 182.485,  75
 183.200,  77
 183.890,  81
 184.595,  81
 185.340,  83
 186.095,  83
 186.850,  83
 187.585,  80
 188.310,  80
 189.020,  80
 189.710,  80
 190.420,  81
 191.135,  83
 191.880,  83
 192.630,  83
 193.375,  83
 194.100,  80
 194.805,  80
 195.490,  80
 196.135,  81
 196.775,  84
 197.390,  86
 198.010,  91
 198.655,  92
 199.315,  92
 200.030,  92
 200.765,  92
 201.530,  91
 202.230,  84
 202.925,  83
 203.610,  83
 204.280,  84
 204.950,  85
 205.610,  87
 206.265,  88
 206.915,  88
 207.560,  90
 208.200,  90
 208.830,  91
 209.455,  92
 210.055,  93
 210.645,  94
 211.245,  95
 211.850,  98
 212.475,  98
 213.120,  98
 213.765,  98
 214.495,  95
 215.235,  93
 215.985,  93
 216.755,  83
 217.540,  81
 218.320,  80
 219.065,  78
 219.825,  78
 220.575,  78
 221.295,  78
 222.005,  78
 222.695,  79
 223.385,  82
 224.080,  83
 224.775,  85
 225.450,  85
 226.090,  85
 226.725,  85
 227.360,  88
