BI-Vital CA7F, STM_FW 2.0-23-g1ecdf25, NRF_FW 2.0, Config #437356607, Start Time 1970-01-01 00:00:09, Uptime 00:00:09, Global Update intervall 5 ms
Updatinterval [ms], 5, 100
Time [s], Heartrate [bpm], Button-press []
   0.000,   0, very long     
   8.400,  14,          
   9.075,  75,          
   9.705,  84,          
  10.415,  88,          
  11.085,  86,          
  11.735,  88,          
  12.365,  88,          
  13.020,  91,          
  13.750,  91,          
  14.820,  91,          
  15.760,  91,          
  16.685,  83,          
  17.585,  66,          
  18.485,  64,          
  19.370,  64,          
  20.200,  65,          
  21.015,  66,          
  21.870,  66,          
  22.745,  69,          
  23.650,  69,          
  24.590,  69,          
  25.535,  68,          
  26.420,  66,          
  27.285,  66,          
  28.160,  66,          
  29.025,  66,          
  29.875,  67,          
  30.715,  68,          
  31.535,  68,          
  32.400,  69,          
  33.260,  69,          
  34.110,  69,          
  34.990,  69,          
  35.845,  69,          
  36.685,  69,          
  37.555,  69,          
  38.395,  69,          
  39.265,  69,          
  40.130,  69,          
  41.000,  69,          
  41.905,  69,          
  42.800,  69,          
  43.675,  69,          
  44.575,  68,          
  45.435,  66,          
  46.300,  66,          
  47.170,  67,          
  48.045,  68,          
  48.940,  68,          
  49.830,  68,          
  50.655,  68,          
  51.480,  68,          
  52.275,  68,          
  53.025,  71,          
  53.765,  71,          
  54.520,  74,          
  55.245,  78,          
  55.935,  78,          
  56.605,  80,          
  57.330,  81,          
  58.100,  81,          
  58.930,  81,          
  59.775,  81,          
  60.625,  78,          
  61.455,  72,          
  62.240,  72,          
  63.005,  72,          
  63.795,  72,          
  64.575,  75,          
  65.350,  75,          
  66.185,  75,          
  67.050,  75,          
  67.870,  75,          
  68.680,  73,          
  69.485,  73,          
  70.230,  73,          
  70.935,  73,          
  71.615,  73,          
  72.320,  78,          
  73.120,  83,          
  73.955,  83,          
  74.870,  83,          
  75.785,  76,          
  76.655,  71,          
  77.550,  68,          
  78.425,  67,          
  79.250,  67,          
  80.050,  67,          
  80.850,  67,          
  81.660,  72,          
  82.495,  73,          
  83.385,  73,          
  84.270,  73,          
  85.150,  71,          
  86.030,  68,          
  86.865,  68,          
  87.670,  68,          
  88.465,  68,          
  89.255,  71,          
  90.055,  73,          
  90.895,  74,          
  91.795,  74,          
  92.655,  74,          
  93.510,  71,          
  94.355,  70,          
  95.190,  70,          
  95.960,  70,          
  96.745,  70,          
  97.555,  71,          
  98.355,  73,          
  99.135,  74,          
  99.915,  75,          
 100.760,  75,          
 101.630,  75,          
 102.510,  75,          
 103.390,  71,          
 104.260,  68,          
 105.065,  68,          
 105.840,  68,          
 106.600,  68,          
 107.370,  73,          
 108.140,  76,          
 108.935,  77,          
 109.750,  77,          
 110.545,  77,          
 111.320,  75,          
 112.090,  75,          
 112.870,  75,          
 113.620,  75,          
 114.360,  76,          
 115.095,  77,          
 115.840,  79,          
 116.570,  79,          
 117.300,  80,          
 118.035,  80,          
 118.780,  80,          
 119.495,  80,          
 120.205,  81,          
 120.915,  81,          
 121.635,  83,          
 122.340,  83,          
 123.035,  83,          
 123.750,  83,          
 124.465,  83,          
 125.170,  83,          
 125.895,  83,          
 126.600,  83,          
 127.325,  83,          
